env,drift_type,parameter,method_baseline,mean_baseline,std_baseline,count_baseline,method_nsmdmpi,mean_nsmdmpi,std_nsmdmpi,count_nsmdmpi,improvement,improvement_pct
CartPole,jump,gravity,Baseline,500.0,0.0,5,NS-MDMPI,500.0,0.0,5,0.0,0.0
CartPole,sine,gravity,Baseline,500.0,0.0,5,NS-MDMPI,498.73199999999997,1.1919186213832131,5,-1.268000000000029,-0.2536000000000058
HalfCheetah,linear,gravity,Baseline,9428.555799999998,966.4687236422606,5,NS-MDMPI,9175.379,1232.7448897399652,5,-253.17679999999746,-2.6852129357923245
HalfCheetah,sine,friction,Baseline,10281.122,325.3332803779836,5,NS-MDMPI,9349.51034,983.367002661381,5,-931.6116599999987,-9.06138123835121
MiniGrid,jump,reward,Baseline,0.0,0.0,5,NS-MDMPI,0.08035258599999999,0.42579157567706055,5,0.08035258599999999,inf
MiniGrid,sine,reward,Baseline,0.0,0.0,5,NS-MDMPI,-0.012628943999999998,0.019488626567300223,5,-0.012628943999999998,-inf
MountainCar,jump,force,Baseline,-108.824,50.99337633457898,5,NS-MDMPI,-131.58599999999998,62.455217796433956,5,-22.761999999999986,-20.916341983386005
MountainCar,sine,gravity,Baseline,-156.382,41.25268257943961,5,NS-MDMPI,-183.07999999999998,37.83427017929644,5,-26.69799999999998,-17.072297323221328
